Id,Name,StageName,Account.Name,Account.Type,Account.Industry
0065j00000USucMAAT,Dickenson Mobile Generators,Qualification,Dickenson plc,Customer - Channel,Consulting
0065j00000USucNAAT,United Oil Office Portable Generators,Negotiation/Review,United Oil & Gas Corp.,Customer - Direct,Energy
0065j00000USucOAAT,Express Logistics Standby Generator,Closed Won,Express Logistics and Transport,Customer - Channel,Transportation
0065j00000USucPAAT,GenePoint Standby Generator,Closed Won,GenePoint,Customer - Channel,Biotechnology
0065j00000USucQAAT,Grand Hotels Kitchen Generator,Id. Decision Makers,Grand Hotels & Resorts Ltd,Customer - Direct,Hospitality
0065j00000USucRAAT,United Oil Refinery Generators,Proposal/Price Quote,United Oil & Gas Corp.,Customer - Direct,Energy
0065j00000USucSAAT,United Oil SLA,Closed Won,United Oil & Gas Corp.,Customer - Direct,Energy
0065j00000USucTAAT,Grand Hotels Guest Portable Generators,Value Proposition,Grand Hotels & Resorts Ltd,Customer - Direct,Hospitality
0065j00000USucUAAT,Edge Emergency Generator,Closed Won,Edge Communications,Customer - Direct,Electronics
0065j00000USucVAAT,University of AZ Portable Generators,Closed Won,University of Arizona,Customer - Direct,Education
0065j00000USucWAAT,Pyramid Emergency Generators,Prospecting,Pyramid Construction Inc.,Customer - Channel,Construction
0065j00000USucXAAT,Express Logistics Portable Truck Generators,Value Proposition,Express Logistics and Transport,Customer - Channel,Transportation
0065j00000USucYAAT,GenePoint Lab Generators,Id. Decision Makers,GenePoint,Customer - Channel,Biotechnology
0065j00000USucZAAT,GenePoint SLA,Closed Won,GenePoint,Customer - Channel,Biotechnology
0065j00000USucaAAD,United Oil Installations,Negotiation/Review,United Oil & Gas Corp.,Customer - Direct,Energy
0065j00000USucbAAD,Edge Installation,Closed Won,Edge Communications,Customer - Direct,Electronics
0065j00000USuccAAD,Edge SLA,Closed Won,Edge Communications,Customer - Direct,Electronics
0065j00000USucdAAD,United Oil Installations,Closed Won,United Oil & Gas Corp.,Customer - Direct,Energy
0065j00000USuceAAD,Grand Hotels Generator Installations,Closed Won,Grand Hotels & Resorts Ltd,Customer - Direct,Hospitality
0065j00000USucfAAD,United Oil Refinery Generators,Closed Won,United Oil & Gas Corp.,Customer - Direct,Energy
0065j00000USucgAAD,University of AZ Installations,Proposal/Price Quote,University of Arizona,Customer - Direct,Education
0065j00000USuchAAD,Express Logistics SLA,Perception Analysis,Express Logistics and Transport,Customer - Channel,Transportation
0065j00000USuciAAD,University of AZ SLA,Closed Won,University of Arizona,Customer - Direct,Education
0065j00000USucjAAD,Burlington Textiles Weaving Plant Generator,Closed Won,Burlington Textiles Corp of America,Customer - Direct,Apparel
0065j00000USuckAAD,United Oil Installations,Closed Won,United Oil & Gas Corp.,Customer - Direct,Energy
0065j00000USuclAAD,United Oil Emergency Generators,Closed Won,United Oil & Gas Corp.,Customer - Direct,Energy
0065j00000USucmAAD,Grand Hotels SLA,Closed Won,Grand Hotels & Resorts Ltd,Customer - Direct,Hospitality
0065j00000USucnAAD,United Oil Standby Generators,Closed Won,United Oil & Gas Corp.,Customer - Direct,Energy
0065j00000USucoAAD,Grand Hotels Emergency Generators,Closed Won,Grand Hotels & Resorts Ltd,Customer - Direct,Hospitality
0065j00000USucpAAD,United Oil Plant Standby Generators,Needs Analysis,United Oil & Gas Corp.,Customer - Direct,Energy
0065j00000USucqAAD,Edge Emergency Generator,Id. Decision Makers,Edge Communications,Customer - Direct,Electronics
